"","Sample Accession or Sample ID","Study_Accession","Run_Accession","Phenotype"
"156","SAMEA104142237","PRJEB21528","ERR2017675","ACVD"
"157","SAMEA104142238","PRJEB21528","ERR2017674","ACVD"
"158","SAMEA104142239","PRJEB21528","ERR2017673","ACVD"
"159","SAMEA104142240","PRJEB21528","ERR2017670","ACVD"
"160","SAMEA104142241","PRJEB21528","ERR2017669","ACVD"
"161","SAMEA104142242","PRJEB21528","ERR2017667","ACVD"
"162","SAMEA104142243","PRJEB21528","ERR2017666","ACVD"
"163","SAMEA104142244","PRJEB21528","ERR2017665","ACVD"
"164","SAMEA104142245","PRJEB21528","ERR2017663","ACVD"
"165","SAMEA104142246","PRJEB21528","ERR2017662","ACVD"
"166","SAMEA104142247","PRJEB21528","ERR2017661","ACVD"
"167","SAMEA104142248","PRJEB21528","ERR2017650","ACVD"
"168","SAMEA104142249","PRJEB21528","ERR2017649","ACVD"
"169","SAMEA104142250","PRJEB21528","ERR2017648","ACVD"
"170","SAMEA104142252","PRJEB21528","ERR2017646","ACVD"
"171","SAMEA104142253","PRJEB21528","ERR2017645","ACVD"
"172","SAMEA104142254","PRJEB21528","ERR2017644","ACVD"
"173","SAMEA104142256","PRJEB21528","ERR2017642","ACVD"
"174","SAMEA104142257","PRJEB21528","ERR2017641","ACVD"
"175","SAMEA104142258","PRJEB21528","ERR2017640","ACVD"
"176","SAMEA104142259","PRJEB21528","ERR2017639","ACVD"
"177","SAMEA104142260","PRJEB21528","ERR2017638","ACVD"
"178","SAMEA104142261","PRJEB21528","ERR2017637","ACVD"
"179","SAMEA104142262","PRJEB21528","ERR2017636","ACVD"
"180","SAMEA104142263","PRJEB21528","ERR2017635","ACVD"
"181","SAMEA104142264","PRJEB21528","ERR2017634","ACVD"
"182","SAMEA104142265","PRJEB21528","ERR2017633","ACVD"
"183","SAMEA104142266","PRJEB21528","ERR2017632","ACVD"
"184","SAMEA104142267","PRJEB21528","ERR2017631","ACVD"
"185","SAMEA104142268","PRJEB21528","ERR2017630","ACVD"
"186","SAMEA104142269","PRJEB21528","ERR2017629","ACVD"
"187","SAMEA104142270","PRJEB21528","ERR2017628","ACVD"
"188","SAMEA104142271","PRJEB21528","ERR2017627","ACVD"
"189","SAMEA104142272","PRJEB21528","ERR2017626","ACVD"
"190","SAMEA104142273","PRJEB21528","ERR2017625","ACVD"
"191","SAMEA104142274","PRJEB21528","ERR2017624","ACVD"
"192","SAMEA104142275","PRJEB21528","ERR2017623","ACVD"
"193","SAMEA104142276","PRJEB21528","ERR2017622","ACVD"
"194","SAMEA104142277","PRJEB21528","ERR2017621","ACVD"
"195","SAMEA104142278","PRJEB21528","ERR2017620","ACVD"
"196","SAMEA104142279","PRJEB21528","ERR2017656","ACVD"
"197","SAMEA104142280","PRJEB21528","ERR2017676","ACVD"
"198","SAMEA104142281","PRJEB21528","ERR2017653","ACVD"
"199","SAMEA104142282","PRJEB21528","ERR2017655","ACVD"
"200","SAMEA104142283","PRJEB21528","ERR2017617","ACVD"
"201","SAMEA104142284","PRJEB21528","ERR2017602","ACVD"
"202","SAMEA104142285","PRJEB21528","ERR2017608","ACVD"
"203","SAMEA104142286","PRJEB21528","ERR2017657","ACVD"
"204","SAMEA104142287","PRJEB21528","ERR2017598","ACVD"
"205","SAMEA104142288","PRJEB21528","ERR2017599","ACVD"
"206","SAMEA104142289","PRJEB21528","ERR2017618","ACVD"
"207","SAMEA104142290","PRJEB21528","ERR2017613","ACVD"
"208","SAMEA104142291","PRJEB21528","ERR2017601","ACVD"
"209","SAMEA104142292","PRJEB21528","ERR2017616","ACVD"
"210","SAMEA104142293","PRJEB21528","ERR2017600","ACVD"
"211","SAMEA104142295","PRJEB21528","ERR2017604","ACVD"
"212","SAMEA104142296","PRJEB21528","ERR2017605","ACVD"
"213","SAMEA104142297","PRJEB21528","ERR2017606","ACVD"
"214","SAMEA104142298","PRJEB21528","ERR2017607","ACVD"
"215","SAMEA104142299","PRJEB21528","ERR2017609","ACVD"
"216","SAMEA104142300","PRJEB21528","ERR2017610","ACVD"
"217","SAMEA104142301","PRJEB21528","ERR2017611","ACVD"
"218","SAMEA104142302","PRJEB21528","ERR2017612","ACVD"
"219","SAMEA104142303","PRJEB21528","ERR2017619","ACVD"
"220","SAMEA104142304","PRJEB21528","ERR2017658","ACVD"
"221","SAMEA104142305","PRJEB21528","ERR2017659","ACVD"
"222","SAMEA104142306","PRJEB21528","ERR2017660","ACVD"
"223","SAMEA104142307","PRJEB21528","ERR2017615","ACVD"
"224","SAMEA104142308","PRJEB21528","ERR2017614","ACVD"
"225","SAMEA104142309","PRJEB21528","ERR2017668","ACVD"
"226","SAMEA104142310","PRJEB21528","ERR2017715","ACVD"
"227","SAMEA104142311","PRJEB21528","ERR2017671","ACVD"
"228","SAMEA104142312","PRJEB21528","ERR2017810","ACVD"
"229","SAMEA104142313","PRJEB21528","ERR2017743","ACVD"
"230","SAMEA104142314","PRJEB21528","ERR2017813","ACVD"
"231","SAMEA104142315","PRJEB21528","ERR2017651","ACVD"
"232","SAMEA104142316","PRJEB21528","ERR2017814","ACVD"
"233","SAMEA104142317","PRJEB21528","ERR2017677","ACVD"
"234","SAMEA104142319","PRJEB21528","ERR2017654","ACVD"
"235","SAMEA104142321","PRJEB21528","ERR2017672","ACVD"
"236","SAMEA104142322","PRJEB21528","ERR2017652","ACVD"
"237","SAMEA104142324","PRJEB21528","ERR2017815","ACVD"
"238","SAMEA104142325","PRJEB21528","ERR2017447","Healthy"
"239","SAMEA104142326","PRJEB21528","ERR2017449","Healthy"
"240","SAMEA104142327","PRJEB21528","ERR2017452","Overweight"
"241","SAMEA104142328","PRJEB21528","ERR2017456","Healthy"
"242","SAMEA104142329","PRJEB21528","ERR2017457","Overweight"
"243","SAMEA104142331","PRJEB21528","ERR2017450","Healthy"
"245","SAMEA104142333","PRJEB21528","ERR2017458","Healthy"
"246","SAMEA104142334","PRJEB21528","ERR2017460","Healthy"
"248","SAMEA104142337","PRJEB21528","ERR2017453","Healthy"
"249","SAMEA104142338","PRJEB21528","ERR2017445","Overweight"
"250","SAMEA104142339","PRJEB21528","ERR2017455","Healthy"
"251","SAMEA104142340","PRJEB21528","ERR2017444","Healthy"
"252","SAMEA104142341","PRJEB21528","ERR2017454","Overweight"
"253","SAMEA104142342","PRJEB21528","ERR2017443","Healthy"
"254","SAMEA104142343","PRJEB21528","ERR2017442","Healthy"
"255","SAMEA104142344","PRJEB21528","ERR2017441","Overweight"
"256","SAMEA104142345","PRJEB21528","ERR2017440","Healthy"
"257","SAMEA104142346","PRJEB21528","ERR2017439","Overweight"
"258","SAMEA104142347","PRJEB21528","ERR2017438","Healthy"
"259","SAMEA104142348","PRJEB21528","ERR2017437","Healthy"
"260","SAMEA104142349","PRJEB21528","ERR2017436","Healthy"
"261","SAMEA104142350","PRJEB21528","ERR2017435","Overweight"
"262","SAMEA104142351","PRJEB21528","ERR2017434","Overweight"
"263","SAMEA104142352","PRJEB21528","ERR2017433","Healthy"
"264","SAMEA104142353","PRJEB21528","ERR2017432","Healthy"
"265","SAMEA104142354","PRJEB21528","ERR2017431","Healthy"
"266","SAMEA104142355","PRJEB21528","ERR2017430","Healthy"
"267","SAMEA104142358","PRJEB21528","ERR2017427","Healthy"
"268","SAMEA104142359","PRJEB21528","ERR2017426","Obesity"
"269","SAMEA104142361","PRJEB21528","ERR2017424","Healthy"
"270","SAMEA104142362","PRJEB21528","ERR2017423","Overweight"
"272","SAMEA104142364","PRJEB21528","ERR2017421","Healthy"
"273","SAMEA104142365","PRJEB21528","ERR2017420","Healthy"
"274","SAMEA104142366","PRJEB21528","ERR2017419","Healthy"
"275","SAMEA104142367","PRJEB21528","ERR2017418","Overweight"
"276","SAMEA104142368","PRJEB21528","ERR2017417","Healthy"
"277","SAMEA104142369","PRJEB21528","ERR2017416","Healthy"
"278","SAMEA104142370","PRJEB21528","ERR2017415","Overweight"
"279","SAMEA104142371","PRJEB21528","ERR2017414","Healthy"
"280","SAMEA104142372","PRJEB21528","ERR2017413","Overweight"
"281","SAMEA104142373","PRJEB21528","ERR2017412","Healthy"
"282","SAMEA104142374","PRJEB21528","ERR2017411","Healthy"
"285","SAMEA1906417","PRJEB1786","ERR260243","Overweight"
"286","SAMEA1906418","PRJEB1786","ERR260225","Overweight"
"288","SAMEA1906420","PRJEB1786","ERR260217","Healthy"
"289","SAMEA1906421","PRJEB1786","ERR260169","T2D"
"290","SAMEA1906422","PRJEB1786","ERR260190","T2D"
"292","SAMEA1906424","PRJEB1786","ERR260206","T2D"
"294","SAMEA1906426","PRJEB1786","ERR260196","T2D"
"295","SAMEA1906427","PRJEB1786","ERR260264","Healthy"
"296","SAMEA1906428","PRJEB1786","ERR260270","T2D"
"299","SAMEA1906431","PRJEB1786","ERR260180","Overweight"
"300","SAMEA1906432","PRJEB1786","ERR260215","Healthy"
"301","SAMEA1906433","PRJEB1786","ERR260216","Healthy"
"303","SAMEA1906435","PRJEB1786","ERR260159","T2D"
"304","SAMEA1906436","PRJEB1786","ERR260189","T2D"
"305","SAMEA1906437","PRJEB1786","ERR260149","T2D"
"306","SAMEA1906438","PRJEB1786","ERR260244","Obesity"
"307","SAMEA1906439","PRJEB1786","ERR260276","T2D"
"309","SAMEA1906441","PRJEB1786","ERR260170","Healthy"
"310","SAMEA1906442","PRJEB1786","ERR260179","T2D"
"311","SAMEA1906443","PRJEB1786","ERR260263","Healthy"
"312","SAMEA1906444","PRJEB1786","ERR260188","T2D"
"314","SAMEA1906446","PRJEB1786","ERR260207","T2D"
"316","SAMEA1906448","PRJEB1786","ERR260234","Overweight"
"317","SAMEA1906449","PRJEB1786","ERR260256","Overweight"
"318","SAMEA1906451","PRJEB1786","ERR260261","T2D"
"321","SAMEA1906455","PRJEB1786","ERR260182","T2D"
"322","SAMEA1906456","PRJEB1786","ERR260167","T2D"
"324","SAMEA1906458","PRJEB1786","ERR260230","Overweight"
"325","SAMEA1906459","PRJEB1786","ERR260259","Healthy"
"326","SAMEA1906460","PRJEB1786","ERR260251","Overweight"
"327","SAMEA1906464","PRJEB1786","ERR260223","Overweight"
"328","SAMEA1906465","PRJEB1786","ERR260139","T2D"
"331","SAMEA1906469","PRJEB1786","ERR260166","T2D"
"332","SAMEA1906470","PRJEB1786","ERR260163","Obesity"
"333","SAMEA1906472","PRJEB1786","ERR260241","T2D"
"334","SAMEA1906474","PRJEB1786","ERR260252","Healthy"
"336","SAMEA1906479","PRJEB1786","ERR260181","T2D"
"338","SAMEA1906481","PRJEB1786","ERR260260","Healthy"
"339","SAMEA1906482","PRJEB1786","ERR260161","T2D"
"341","SAMEA1906486","PRJEB1786","ERR260258","Obesity"
"342","SAMEA1906487","PRJEB1786","ERR260231","Overweight"
"343","SAMEA1906489","PRJEB1786","ERR260140","T2D"
"344","SAMEA1906490","PRJEB1786","ERR260147","Healthy"
"345","SAMEA1906491","PRJEB1786","ERR260242","Healthy"
"346","SAMEA1906493","PRJEB1786","ERR260224","Obesity"
"348","SAMEA1906495","PRJEB1786","ERR260186","T2D"
"350","SAMEA1906497","PRJEB1786","ERR260238","T2D"
"352","SAMEA1906503","PRJEB1786","ERR260204","Obesity"
"353","SAMEA1906505","PRJEB1786","ERR260155","T2D"
"356","SAMEA1906514","PRJEB1786","ERR260201","T2D"
"358","SAMEA1906520","PRJEB1786","ERR260266","Overweight"
"359","SAMEA1906522","PRJEB1786","ERR260175","Obesity"
"360","SAMEA1906523","PRJEB1786","ERR260185","T2D"
"361","SAMEA1906524","PRJEB1786","ERR260194","T2D"
"362","SAMEA1906525","PRJEB1786","ERR260253","Overweight"
"365","SAMEA1906528","PRJEB1786","ERR260210","T2D"
"366","SAMEA1906529","PRJEB1786","ERR260173","T2D"
"367","SAMEA1906530","PRJEB1786","ERR260221","Overweight"
"368","SAMEA1906531","PRJEB1786","ERR260203","T2D"
"370","SAMEA1906533","PRJEB1786","ERR260239","T2D"
"375","SAMEA1906538","PRJEB1786","ERR260267","Overweight"
"376","SAMEA1906539","PRJEB1786","ERR260193","Healthy"
"379","SAMEA1906543","PRJEB1786","ERR260229","T2D"
"381","SAMEA1906545","PRJEB1786","ERR260202","T2D"
"382","SAMEA1906546","PRJEB1786","ERR260240","T2D"
"384","SAMEA1906548","PRJEB1786","ERR260198","T2D"
"386","SAMEA1906550","PRJEB1786","ERR260246","Overweight"
"387","SAMEA1906551","PRJEB1786","ERR260255","Overweight"
"389","SAMEA1906553","PRJEB1786","ERR260178","T2D"
"390","SAMEA1906554","PRJEB1786","ERR275252","T2D"
"392","SAMEA1906556","PRJEB1786","ERR260218","Overweight"
"393","SAMEA1906557","PRJEB1786","ERR260192","T2D"
"394","SAMEA1906558","PRJEB1786","ERR260144","T2D"
"396","SAMEA1906560","PRJEB1786","ERR260153","Overweight"
"399","SAMEA1906563","PRJEB1786","ERR260265","Healthy"
"400","SAMEA1906565","PRJEB1786","ERR260205","Healthy"
"401","SAMEA1906566","PRJEB1786","ERR260274","T2D"
"403","SAMEA1906568","PRJEB1786","ERR260171","Healthy"
"404","SAMEA1906569","PRJEB1786","ERR260226","Healthy"
"405","SAMEA1906570","PRJEB1786","ERR260199","T2D"
"406","SAMEA1906572","PRJEB1786","ERR260235","T2D"
"408","SAMEA1906574","PRJEB1786","ERR260191","T2D"
"410","SAMEA1906576","PRJEB1786","ERR260227","Healthy"
"413","SAMEA1906579","PRJEB1786","ERR260214","T2D"
"414","SAMEA1906580","PRJEB1786","ERR260152","T2D"
"416","SAMEA1906583","PRJEB1786","ERR260176","T2D"
"417","SAMEA1963786","PRJEB1220","ERR209746","Crohns disease"
"418","SAMEA1964687","PRJEB4336","ERR321481","Obesity"
"419","SAMEA1964914","PRJEB1220","ERR209632","Ulcerative colitis"
"420","SAMEA1965112","PRJEB1220","ERR209356","Obesity"
"421","SAMEA1965149","PRJEB4336","ERR321560","Healthy"
"422","SAMEA1965384","PRJEB1220","ERR209301","Obesity"
"423","SAMEA1965767","PRJEB1220","ERR209477","Obesity"
"424","SAMEA1965858","PRJEB4336","ERR321577","Healthy"
"425","SAMEA1965906","PRJEB1220","ERR209626","Ulcerative colitis"
"426","SAMEA1966253","PRJEB1220","ERR209773","Ulcerative colitis"
"427","SAMEA1967055","PRJEB1220","ERR209898","Overweight"
"428","SAMEA1967319","PRJEB4336","ERR321612","Obesity"
"429","SAMEA1968035","PRJEB1220","ERR209637","Ulcerative colitis"
"430","SAMEA1968151","PRJEB1220","ERR209679","Crohns disease"
"431","SAMEA1968361","PRJEB1220","ERR209570","Ulcerative colitis"
"432","SAMEA1969296","PRJEB1220","ERR209255","Obesity"
"433","SAMEA1969417","PRJEB4336","ERR321352","Obesity"
"434","SAMEA1970858","PRJEB4336","ERR321650","Obesity"
"435","SAMEA1971210","PRJEB4336","ERR321594","Healthy"
"436","SAMEA1972159","PRJEB1220","ERR209245","Obesity"
"437","SAMEA1972188","PRJEB4336","ERR321590","Obesity"
"438","SAMEA1972229","PRJEB1220","ERR209900","Healthy"
"439","SAMEA1972381","PRJEB4336","ERR321610","Obesity"
"440","SAMEA1972440","PRJEB1220","ERR209556","Ulcerative colitis"
"441","SAMEA1973207","PRJEB1220","ERR209470","Healthy"
"442","SAMEA2017457","PRJEB1690","ERR247139","Healthy"
"443","SAMEA2017459","PRJEB1690","ERR247141","Healthy"
"444","SAMEA2041924","PRJEB1220","ERR209643","Healthy"
"445","SAMEA2041926","PRJEB1220","ERR209655","Ulcerative colitis"
"446","SAMEA2041928","PRJEB1220","ERR209648","Healthy"
"447","SAMEA2041931","PRJEB1220","ERR209651","Healthy"
"448","SAMEA2041933","PRJEB1220","ERR209656","Healthy"
"449","SAMEA2041935","PRJEB1220","ERR209659","Healthy"
"450","SAMEA2041937","PRJEB1220","ERR209661","Healthy"
"451","SAMEA2041939","PRJEB1220","ERR209663","Healthy"
"452","SAMEA2042000","PRJEB1220","ERR209665","Healthy"
"453","SAMEA2042002","PRJEB1220","ERR209667","Healthy"
"454","SAMEA2042006","PRJEB1220","ERR209671","Healthy"
"455","SAMEA2042009","PRJEB1220","ERR209674","Healthy"
"456","SAMEA2042011","PRJEB1220","ERR209678","Ulcerative colitis"
"459","SAMEA2042103","PRJEB1220","ERR209693","Crohns disease"
"460","SAMEA2042104","PRJEB1220","ERR209694","Healthy"
"461","SAMEA2042106","PRJEB1220","ERR209697","Crohns disease"
"462","SAMEA2042108","PRJEB1220","ERR209701","Crohns disease"
"463","SAMEA2042109","PRJEB1220","ERR209703","Overweight"
"464","SAMEA2042111","PRJEB1220","ERR209706","Crohns disease"
"465","SAMEA2042113","PRJEB1220","ERR209711","Crohns disease"
"466","SAMEA2042114","PRJEB1220","ERR209713","Healthy"
"467","SAMEA2042115","PRJEB1220","ERR209714","Healthy"
"474","SAMEA2042216","PRJEB1220","ERR209717","Crohns disease"
"475","SAMEA2042217","PRJEB1220","ERR209718","Healthy"
"476","SAMEA2042218","PRJEB1220","ERR209720","Healthy"
"477","SAMEA2042219","PRJEB1220","ERR209721","Obesity"
"478","SAMEA2042221","PRJEB1220","ERR209722","Healthy"
"479","SAMEA2042222","PRJEB1220","ERR209726","Healthy"
"480","SAMEA2042223","PRJEB1220","ERR209728","Healthy"
"481","SAMEA2042225","PRJEB1220","ERR209732","Crohns disease"
"482","SAMEA2042226","PRJEB1220","ERR209734","Healthy"
"485","SAMEA2042285","PRJEB1220","ERR209071","Healthy"
"487","SAMEA2042304","PRJEB1220","ERR209736","Overweight"
"489","SAMEA2042363","PRJEB1220","ERR209091","Obesity"
"496","SAMEA2042392","PRJEB1220","ERR209240","Healthy"
"497","SAMEA2042395","PRJEB1220","ERR209739","Crohns disease"
"498","SAMEA2042396","PRJEB1220","ERR209741","Healthy"
"499","SAMEA2042399","PRJEB1220","ERR209749","Crohns disease"
