"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"1587","Lactobacillus helveticus",8,116116,2.61329443436452e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"1522","Erysipelatoclostridium [Clostridium] innocuum",8,58756,0.00011929316221687,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium"
"2485784","Erysipelothrix piscisicarius",8,293908,4.16744703169118e-06,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix"
"1871025","Ndongobacter massiliensis",8,94272,1.64010850551151e-05,"Bacteria","Firmicutes","Tissierellia","Tissierellales","Gottschalkiaceae","Ndongobacter"
"2599293","Humibacter sp. WJ7-1",8,151465,7.70985389226113e-08,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Humibacter"
"729","Haemophilus parainfluenzae",8,6889,8.49686875829417e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"119864","Marinomonas mediterranea",8,240694,5.75673020421463e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas"
"28119","Bacteroides zoogleoformans",7,71629,0.106250507217958,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"589436","Prevotella fusca",7,24366,0.000126126751749795,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"2714926","Dysgonomonas sp. HDW5A",7,64446,0.000119069845039032,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"2719912","Leeuwenhoekiella sp. ZYFB001",7,87803,0.000101900879766814,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Leeuwenhoekiella"
"106","Runella slithyformis",7,28049,5.31155646676528e-05,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Runella"
"1834519","Fibrella sp. ES10-3-2-2",7,94247,0.000300396665920101,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Fibrella"
"94254","Dyadobacter fermentans",7,69749,8.99347659343861e-05,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter"
"320787","Cyclobacterium amurskyense",7,95117,0.00130218132950812,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Cyclobacterium"
"2027860","Mucilaginibacter rubeus",7,11845,0.000287472576348609,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"833","Fibrobacter succinogenes",7,154830,0.000111647393517048,"Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"208479","Enterocloster bolteae",7,53891,7.90817341016545e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster"
"2696063","Anaerocolumna sp. CBA3638",7,18849,2.95106536608525e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerocolumna"
"2736602","Anaerocolumna sp. CTTW",7,12404,1.63354073066074e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerocolumna"
"433286","Anaerocolumna cellulosilytica",7,12519,1.56489105647396e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerocolumna"
"185007","Pseudobutyrivibrio xylanivorans",7,22997,8.16265115329411e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Pseudobutyrivibrio"
"2724150","Romboutsia sp. CE17",7,14525,6.04131861804123e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia"
"2068654","Clostridium fermenticellae",7,30905,1.63352217597104e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"29322","Eubacterium [Eubacterium] cellulosolvens",7,34990,7.40459764076036e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium"
"2546351","Thermaerobacter sp. FW80",7,235149,6.94507467063927e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis","Thermaerobacter"
"2023772","Paenibacillus sp. RUD330",7,124404,1.24615071009108e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"682956","Paenibacillus jilunlii",7,134590,1.3352484675378e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"72361","Bacillus vallismortis",7,52886,5.91149596722317e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"1648923","Bacillus paralicheniformis",7,134208,3.8154892402144e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"264697","Peribacillus muralis",7,66489,3.56534712470157e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Peribacillus"
"28037","Streptococcus mitis",7,13013,4.40881559910682e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"1303","Streptococcus oralis",7,17108,9.10543815641422e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"1335","Streptococcus equinus",7,59820,1.09014923677496e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"1364","Lactococcus piscium",7,32047,1.80588619720455e-10,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"1604","Lactobacillus amylovorus",7,8416,1.40654842366335e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"228229","Ligilactobacillus Lactobacillus saerimneri",7,159569,8.54133436503012e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus"
"28447","Clavibacter michiganensis",7,143198,7.01130830475038e-07,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Clavibacter"
"37329","Nocardia farcinica",7,154321,5.66365710557369e-08,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"356852","Micromonospora coxensis",7,178655,4.64773299183089e-07,"Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora"
"113562","Actinoplanes derwentensis",7,158536,3.01440558281466e-07,"Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"240495","Pseudonocardia dioxanivorans",7,80225,8.66537725997891e-07,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"84163","Cryptobacterium curtum",7,245344,2.55823042469366e-06,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Cryptobacterium"
"379064","Cyanobacterium aponinum",7,72116,1.58599210089147e-08,"Bacteria","Cyanobacteria","","Chroococcales","Cyanobacteriaceae","Cyanobacterium"
"980427","Deinococcus wulumuqiensis",7,103361,1.11891488500061e-05,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"564","Escherichia fergusonii",7,82666,6.05977798726534e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia"
"244366","Klebsiella variicola",7,29463,7.59887629893935e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella"
"587753","Pseudomonas chlororaphis",7,105115,3.08046672951408e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"29571","Halomonas subglaciescola",7,91383,1.67739378325846e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas"
"73141","Thiocystis violascens",7,200272,3.04238803811741e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiocystis"
"2591606","Microbulbifer sp. GL-2",7,75896,7.32627352619902e-09,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer"
"2583823","Desulfovibrio sp. IOR2",7,49468,3.14514048398936e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"296842","Desulfovibrio carbinolicus",7,180311,1.04849705180429e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"2725288","Pseudodesulfovibrio sp. zrk46",7,192672,7.8223727006164e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio"
"182210","Pseudodesulfovibrio aespoeensis",7,109585,1.19034701453024e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio"
"899","Desulfomicrobium baculatum",7,102967,1.96939123195288e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium"
"1203471","Geobacter daltonii",7,80122,2.35650554669493e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"1340425","Geobacter anodireducens",7,144950,1.89175109024482e-08,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"358","Agrobacterium tumefaciens",7,113717,5.46397926926157e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium"
"1437360","Bradyrhizobium erythrophlei",7,145587,7.79762331891703e-07,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"1284658","Planktomarina temperata",7,99171,1.34231469347719e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Planktomarina"
"2319844","Sphingomonas sp. YZ-8",7,126244,5.32394919648306e-09,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"192843","Rhodoferax ferrireducens",7,197141,1.14530795015821e-07,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"2714925","Diaphorobacter sp. HDW4B",7,75975,5.76931201522175e-08,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter"
"401471","Undibacterium parvum",7,47497,1.37164860480162e-08,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Undibacterium"
"1296669","Aquabacterium olei",7,83548,2.21457289404901e-06,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Aquabacterium"
"551760","Aromatoleum aromaticum",7,118252,1.02188062728782e-06,"Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Aromatoleum"
"160808","Acidithiobacillus ferrivorans",7,121861,1.34680169761955e-08,"Bacteria","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus"
"2764326","Fusobacterium sp. NSJ-57",7,33210,5.38845764043107e-07,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"150829","Treponema azotonutricium",7,91427,6.54609919287927e-07,"Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"406548","Aquisphaera giovannonii",7,191964,6.34352365349572e-08,"Bacteria","Planctomycetes","Planctomycetia","Isosphaerales","Isosphaeraceae","Aquisphaera"
"33075","Acidobacterium capsulatum",7,94200,9.28698922488224e-06,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidobacterium"
"412593","Thermosulfidibacter takaii",7,67831,2.61555143199239e-09,"Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Thermosulfidibacter"
"820","Bacteroides uniformis",6,15429,0.0439347909108742,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"818","Bacteroides thetaiotaomicron",6,57940,0.107130764146329,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"2585118","Alistipes communis",6,18180,0.000335315599131025,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"328814","Alistipes shahii",6,17252,0.000213975491874727,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"52227","Prevotella dentalis",6,42666,0.000181747100850183,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"28135","Prevotella oris",6,3866,0.000207858178048263,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"1642647","Proteiniphilum saccharofermentans",6,9770,0.000757054316431175,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum"
"837","Porphyromonas gingivalis",6,35535,7.33994946640715e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"1019","Capnocytophaga sputigena",6,98369,0.00909389612761009,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
"111501","Muricauda ruestringensis",6,127140,7.05914990707565e-06,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Muricauda"
"1486245","Gramella flava",6,32391,7.72408100629493e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gramella"
"1871047","Chryseobacterium sp.",6,17053,3.75367804065601e-06,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"1265445","Chryseobacterium camelliae",6,34126,6.21686982018894e-06,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"1356852","Hymenobacter sp. APR13",6,149421,0.00172961585177778,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"2735321","Hymenobacter sp. TS19",6,117221,4.55423980639955e-05,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"2319843","Hymenobacter oligotrophus",6,65895,0.00107795068692168,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"2571030","Pontibacter sp. SGAir0037",6,98272,5.46268656596863e-06,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter"
"323450","Pontibacter actiniarum",6,91986,0.000147196656115067,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter"
"2745947","Spirosoma sp. KUDC1026",6,133708,8.11296430482845e-05,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma"
"316068","Leadbetterella byssophila",6,76551,7.96764171234669e-06,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Leadbetterella"
"2557994","Sphingobacterium sp. CZ-2",6,34018,1.93581760225525e-06,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"561061","Sphingobacterium psychroaquaticum",6,27198,8.14443765169016e-05,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"2764720","Olivibacter sp. SDN3",6,60473,0.0320156960444239,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Olivibacter"
"1176587","Niabella ginsenosidivorans",6,39822,5.74219392852937e-05,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Niabella"
"477680","Filimonas lacunae",6,39813,0.00203259486118641,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Filimonas"
"2315862","Paraflavitalea soli",6,21165,0.000376263026102273,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Paraflavitalea"
"1092","Chlorobium limicola",6,109161,6.3486433111261e-07,"Bacteria","Chlorobi","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium"
"1974213","Prosthecochloris sp. HL-130-GSB",6,37717,1.84096202620435e-06,"Bacteria","Chlorobi","Chlorobia","Chlorobiales","Chlorobiaceae","Prosthecochloris"
"1871021","Lachnoclostridium phocaeense",6,9016,8.51477378434385e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"43305","Butyrivibrio proteoclasticus",6,6260,1.31348304968096e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"185008","Butyrivibrio hungatei",6,55722,1.08083789116364e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"29370","Lacrimispora sphenoides",6,20902,0.000103881632613313,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lacrimispora"
"853","Faecalibacterium prausnitzii",6,100796,2.32758661722187e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"1161942","Ruminococcus champanellensis",6,42812,0.000131431234034907,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"2721621","Caproiciproducens sp. 7D4C2",6,35705,5.81218345440738e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Caproiciproducens"
"641107","Clostridium sp. DL-VIII",6,35421,1.09225601140481e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"1513","Clostridium tetani",6,44295,3.01906027968836e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"36845","Clostridium intestinale",6,39697,7.92270280244236e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"1488","Clostridium acetobutylicum",6,15387,6.40359747535373e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"1504","Clostridium septicum",6,12775,1.69451093705542e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"2599308","Crassaminicella sp. SY095",6,41876,6.74697178997224e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Crassaminicella"
"1521","Ruminiclostridium cellulolyticum",6,38122,1.39498387933536e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Ruminiclostridium"
"471827","Candidatus Desulforudis audaxviator",6,139350,1.80756277400376e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Candidatus Desulforudis"
"2734","Symbiobacterium thermophilum",6,88536,8.7901197801159e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Symbiobacteriaceae","Symbiobacterium"
"2331","Halanaerobium praevalens",6,114027,3.56718664609698e-05,"Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae","Halanaerobium"
"712538","Selenomonas sp. oral taxon 478",6,88056,4.19120077842766e-07,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas"
"865","Pectinatus frisingensis",6,39551,1.14774359900724e-07,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Pectinatus"
"1695218","Paenibacillus sp. 32O-W",6,63621,1.16095205992193e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"51101","Brevibacillus agri",6,69449,1.47027401575785e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus"
"1071078","Bacillus sp. NSP9.1",6,34952,5.16105739961317e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"2587848","Bacillus sp. THAF10",6,73928,8.64916018428074e-05,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"1472767","Lentibacillus amyloliquefaciens",6,71243,1.45824881715474e-05,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Lentibacillus"
"2674991","Cohnella candidum",6,78039,5.53838294785697e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Cohnella"
"714067","Kroppenstedtia eburnea",6,52503,3.08820435213505e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Kroppenstedtia"
"712623","Streptococcus sp. oral taxon 061",6,52059,5.09234922222101e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"1328","Streptococcus anginosus",6,22105,7.05613478405109e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"1304","Streptococcus salivarius",6,4425,1.21224755617479e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"82348","Streptococcus pluranimalium",6,45491,3.14372503806081e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"2748","Carnobacterium divergens",6,48912,1.84886743187342e-08,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium"
"1685","Bifidobacterium breve",6,52806,0.000155407587508904,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"1686","Bifidobacterium catenulatum",6,8847,1.22588022659669e-05,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"1680","Bifidobacterium adolescentis",6,12028,6.28499930072711e-06,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"1765219","Bifidobacterium eulemuris",6,66922,7.98195808677155e-08,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"1725411","Streptomyces sp. CdTB01",6,85283,3.70967329593044e-08,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
